laser,gyro_x,gyro_y,gyro_z


SCAN 1 - Left to Right
85,-1967,62,-135
70,-2141,96,-107
139,-2719,87,-142
159,-1968,60,-129
66,-1994,64,-110
61,-2187,61,-98
180,-2050,61,-103
220,-2050,42,-111
180,-2670,80,-181
158,-1805,54,-121
73,-2199,80,-109
42647,-2787,70,-74
181,-1709,67,-119
5117,-2318,84,-119
3275,-2172,65,-89
5104,-2194,59,-102
5805,-1989,63,-125
3860,-2247,37,-88
8342,-2162,58,-142
8008,-2805,67,-102
52039,-1473,31,-108
6623,-2536,67,-110
7029,-2051,51,-88
7930,-2351,87,-113
7704,-2458,77,-119
7650,-2222,76,-110
7322,-2125,61,-108
6547,-2288,39,-90
7813,-1477,49,-126
8133,-3004,50,-120
7163,-2407,63,-97
7573,-1321,80,-128
7448,-1619,38,-124
8029,-2208,91,-
