laser,gyro_x,gyro_y,gyro_z


SCAN 1 - Left to Right
7977,1154,150,-45
8076,1194,98,-68
7821,1704,73,-67
8241,989,115,-38
7792,1452,99,7
8255,1118,102,-7
7578,1902,110,-4
7906,850,98,-31
8220,1168,98,-27
7729,1117,121,-60
6997,1053,96,-31
8218,1177,114,-51
7639,1194,81,-49
8641,780,113,-70
7722,1235,79,-83
7719,1495,123,-56
7768,789,105,-44
8508,1822,82,-11
7754,1249,112,-12
7985,2085,96,-10
8348,363,113,-45
8106,1300,86,-41
7950,1286,90,-33
8264,1147,128,0
7942,1253,144,-15
8445,1705,139,-37
7764,1170,132,-12
7998,1226,92,-34
8258,1165,100,-37
8456,982,137,-48
8452,1349,63,-7
8488,1650,61,0
8445,1299,88,-21
8608,1162,161,-26
8580,1337,96,-23
8869,1337,144,-22

SCAN 3 - Left to Right
8878,969,102,-41
3065,832,93,-63
8919,689,129,-54
8875,-226,79,-74
8712,-113,91,-68
8839,-572,69,-53
9071,-317,107,-91
8313,-1663,70,-54
7861,-926,73,-96
8571,-2490,34,-138
8037,-432,61,-84
8152,-3471,54,-106
7980,-323,114,-96
8265,-505,70,-93
8506,-2829,55,-108
8204,122,85,-70
7898,-3573,40,-140
7805,976,138,-66
8009,-4310,67,-188
7233,1456,130,-53
8532,-4011,56,-146
7951,1412,103,-49
8850,-1235,83,-101
8087,-2744,71,-111
8138,-432,67,-83
8413,-1014,58,-90
7975,-2967,101,-115
8010,-163,97,-75
8111,-1741,59,-100
8219,-2247,71,-118
8373,-223,94,-88
8801,-1711,47,-83
8089,-1762,64,-95
6986,-3406,34,-133
8554,-560,54,-16
8381,-3328,78,-117
7876,395,98,-47
7034,-1028,87,-88
8045,-2486,45,-101
7436,223,84,-24
7860,-2688,96,-105
8328,413,119,-59
7809,-2127,58,-96
6762,-2238,58,-86
7862,-2270,53,-114
7891,-1577,30,-98
7761,-1205,74,-96
8272,-1671,76,-77
7566,-1652,94,-102
7657,-2165,52,-96
7025,-523,83,-111
7420,-2104,91,-82
6871,-1369,66,-111
7071,-636,68,-67
7037,-634,79,-84
6527,-2406,56,-107
6955,-1837,36,-103
7060,-555,61,-75
6731,-1636,53,-96
7105,-1431,75,-70
7339,-1638,83,-122
8223,-2094,47,-120
8009,-1990,46,-82
8364,-1973,59,-85
8491,-1869,63,-101
7429,-612,101,-81
7528,-1071,70,-107
7580,-1883,37,-96
7799,-1299,92,-119
8372,-1170,93,-78
225,-1971,79,-91
182,-1587,242,-50
143,-1168,56,-73
75,-1450,97,-97
143,-1397,57,-101
161,-1079,88,-107
63,-1210,37,-66
241,-1318,65,-91
42587,-1487,52,-91
78,-1481,101,-97
221,-1072,71,-103
161,-1140,58,-92
96,-1415,62,-100
216,-1726,58,-115
229,-1468,65,-103
160,-1304,57,-116
117,-1530,97,-92
17693,-1529,91,-113
206,-1118,123,-104
170,-1127,42,-82
10159,-1552,39,-51
232,-1491,53,-85
38954,-1719,63,-98
52,-1009,53,-95
202,-1565,92,-87
177,-783,73,-109
229,-1362,77,-75
218,-1189,94,-63
97,-1600,110,-109
117,-1833,51,-68
96,-1245,63,-99
140,-1962,53,-108
113,-1164,49,-56
38934,-1700,106,-91
218,-1119,38,-109
184,-1821,80,-108
216,-1629,86,-108
124,-1129,70,-94
142,-1293,79,-74
38991,-1242,101,-96
173,-2199,40,-93
219,-1166,66,-118
131,-1780,62,-124
220,-1092,100,-74
129,-1176,77,-131
118,-2292,69,-83
1350,-712,50,-71
3064,-1700,86,-103
6649,-1543,46,-96
6805,-1293,80,-87
6264,-825,115,-74
8401,-1685,71,-119
3846,-1515,68,-116
6729,-2271,101,-97
8477,-1140,42,-100
5247,-1647,85,-112
8880,-1716,73,-58
6613,-1020,62,-60
5547,-1391,101,-97
6860,-1627,55,-107
6450,-1045,40,-72
6834,-2192,67,-126
7771,-1619,84,-83
6883,-1319,83,-112
7260,-1447,18,-77
7774,-1749,47,-91
7418,-1391,69,-88
7169,-1356,66,-110
7095,-1426,48,-137
8618,-1723,65,-71
7344,-1454,91,-110
7821,-1447,106,-78
7985,-1898,51,-76
8593,-1232,91,-132
7524,-871,99,-66
7467,-2397,37,-124
8318,-1208,92,-75
7437,-1455,70,-96
7058,-1242,69,-67
7359,-1201,100,-91
8130,-1850,43,-101
7271,-1183,84,-112
7252,-1334,74,-135
7585,-1000,62,-92
7378,-1781,100,-78
8112,-1608,43,-122
7542,-1713,48,-119
8311,-
