laser,gyro_x,gyro_y,gyro_z


SCAN 1 - Left to Right
133,5862,135,-7
204,2869,138,-27
10845,3901,151,8
39042,3578,139,-11
140,4561,168,30
42686,4867,138,48
200,5264,178,6
214,-1565,70,-52
27315,4579,144,26
42626,4246,150,21
196,4953,198,18
234,5687,171,46
169,4326,156,9
184,3670,149,7
57,2220,111,-18
56502,3774,159,51
192,4344,161,18
241,3947,134,-7
61349,3228,148,0
1147,4124,138,39
120,4214,119,18
57,4122,151,0
214,3585,181,-3
148,3779,189,42
58,4531,136,41
38911,4083,135,28
243,3870,203,14
100,3887,132,40
106,4180,141,-6
1037,4029,176,2
148,3624,153,-19
128,3811,153,-256
8249,4054,147,21
7590,3722,158,2
7797,4328,-515,-25
7936,3259,113,-1
8266,3760,143,10
7870,4107,-446,-13
