laser,gyro_x,gyro_y,gyro_z


SCAN 1 - Left to Right
7878,6692,-14888,481
9128,1668,-10061,-64
8380,2864,-1958,16
8379,-80,-419,-62
8656,-512,-1351,-76
8846,455,371,-65
8916,-2542,31,-135
8132,-1305,85,-129
8051,-2017,85,-118
8000,291,92,-40
8378,-3279,-550,-148
7775,440,133,-84
7404,-1121,62,-65
7877,-2403,64,-84
7751,392,89,-55
8276,-2168,36,-133
7392,-2549,73,-96
128,-544,93,-85
7738,-2396,35,-117
8321,-643,63,-113
489,-1551,37,-108
7802,-2242,83,-106
8111,-794,90,-103
8399,-2120,54,-146
8106,-1626,40,-109
7410,-745,50,-104
7851,-2226,62,-81
7775,-913,49,-94
8258,-972,77,-71
7626,-2065,86,-108
7842,-1983,55,-111
7221,-515,84,-62
7595,-1604,53,-129
8541,-1693,47,-152
7823,-1813,73,-87
7954,-2186,42,-106
8812,369,95,-48
8286,-1770,66,-95
7982,-1761,76,-109
7907,-1368,56,-99
8443,-2111,64,-132
7903,-1586,72,-109
7394,-137,63,-72
8188,-1657,76,-73
8186,-1414,84,-119
8000,-1084,83,-97
7613,-1311,37,-100
7875,-1339,88,-112
7112,-1361,83,-102
6300,-1306,86,-76
6824,-1504,52,-108
7018,-1495,43,-74
7067,-1108,61,-105
7441,-1522,95,-134
7229,-1299,53,-96
7344,-1435,78,-83
7329,-1106,81,-97
8043,-1340,86,-80
8430,-1415,62,-71
7240,-2261,91,-142
7003,-1520,88,-118
7648,-1142,111,-110
8094,-2087,56,-106
7216,-1011,53,-66
7220,-1979,88,-136
8219,-1085,94,-137
7901,-1374,67,-92
158,-1957,61,-138
38926,-1533,51,-78
227,-1152,78,-75
84,-1619,74,-104
150,-721,72,-99
105,-1446,39,-98
51574,-1924,59,-91
190,-1548,45,-139
205,-1493,92,-100
120,-1554,81,-128
2827,-1371,23,-85
65163,-1259,86,-90
2120,-2001,40,-111
42711,-1146,61,-78
219,-1359,81,-104
1781,-1677,51,-78
53871,-1427,51,-87
234,-1549,88,-74
88,-1790,62,-163
216,-1682,88,-101
91,-1111,74,-91
132,-1215,66,-99
64,-1390,60,-121
105,-1519,118,-131
198,-2152,77,-106
38968,-1047,57,-100
134,-2107,72,-115
170,-1164,40,-77
56,-1674,72,-108
210,-1279,68,-88
143,-1404,49,-107
188,-1650,69,-88
128,-1257,88,-84
42713,-1710,72,-108
155,-1598,48,-134
172,-2061,44,-102
211,-930,86,-78
95,-1558,40,-111
189,-1003,103,-90
42679,-1495,57,-99
42683,-1644,106,-77
124,-1273,99,-140
166,-1885,16,-70
70,-1545,108,-60
116,-1166,45,-102
128,-1590,101,-109
8596,-1160,60,-86
1738,-1458,76,-70
3694,-1811,91,-83
5833,-1235,22,-92
6001,-1243,37,-113
5532,-1762,97,-97
3190,-1028,62,-90
4843,-1782,63,-111
7495,-1620,60,-118
7053,-1268,56,-110
4349,-1972,106,-108
8631,-904,49,-77
6420,-1760,49,-104
6823,-1127,96,-91
7750,-1445,56,-101
8378,-1500,72,-118
6773,-1561,63,-120
7221,-1859,39,-96
8803,-1038,114,-47
6989,-1508,36,-118
7186,-1479,59,-93
7277,-1138,89,-120
