laser,gyro_x,gyro_y,gyro_z


SCAN 1 - Left to Right
7030,1648,99,-38
7454,748,92,-11
7106,1775,85,-20
7509,1018,128,-69
7479,1713,104,-26
7350,985,132,-39
8145,1457,71,-15
8099,1531,141,-67
8173,830,107,-57
7630,1494,97,-39
8277,984,91,-47
7814,1584,110,-39
7551,1544,79,-16
7828,982,117,-46
8148,947,121,-26
8301,1249,70,-56
7797,971,113,-77
8210,1144,93,-22
8118,1068,138,-3
8009,1454,104,-54
8139,1230,116,-26
7396,1914,136,-23
7383,952,75,-36
8640,1273,123,-7
8600,961,94,-24
7865,1120,115,-35
8300,1858,105,-62
7817,815,111,-56
7292,963,41,-31
8809,1536,143,-28
8422,1070,120,-48
8083,1777,66,-79
8521,1612,139,-46
8542,909,67,-55
8867,1122,115,-33
8304,1323,81,-37
7982,1491,120,-24
8311,1245,101,-47
8015,1042,82,-48
7992,1240,9
SCAN 3 - Left to Right
5,-50
8023,1625,123,-57
7963,273,51,-40
7927,486,84,-67
8754,16,105,-78
8042,-230,91,-68
8346,-552,64,-63
8335,-1239,56,-139
7937,-376,-952,-68
8779,-2250,28,-69
8472,-1304,81,-90
9069,-3999,46,-120
8783,-2742,19,-81
8220,-2047,63,-69
8109,-1319,64,-105
8226,-2213,42,-97
7812,482,113,-68
8374,-3550,35,-126
8629,612,103,-59
8102,-987,53,-62
8699,-2485,66,-120
8328,-567,89,-59
8818,-3058,40,-154
8331,-153,92,-131
8613,-790,99,-77
8581,-2467,58,-138
7984,696,111,-63
8121,-2858,55,-126
8387,-854,106,-92
7619,-2600,66,-117
8130,-2293,50,-104
7529,-813,74,-70
7032,-3407,10,-149
8129,1573,124,-3
8078,-2319,50,-85
7434,-1958,68,-106
7261,-450,83,-75
8040,-2779,57,-108
975,-826,111,-77
7268,-1718,57,-125
7793,-1886,51,-92
7783,268,71,-38
7876,-1978,70,-104
7280,-1971,65,-89
7041,-2609,64,-111
7218,-418,89,-69
7627,-2480,56,-90
7071,331,84,-33
7351,-2287,49,-84
7345,-1353,77,-60
7313,-2114,47,-119
7200,-626,107,-71
8158,-1293,73,-92
8228,-1937,84,-77
7882,-1459,90,-105
8387,-1452,48,-69
7622,-161,98,-71
7239,-1852,77,-109
7453,-1661,103,-73
7002,-2056,68,-112
7406,-2608,60,-129
6815,-326,89,-68
7415,-1092,102,-91
6775,-1619,69,-137
6412,-1441,99,-90
6924,-1089,71,-97
6347,-1469,82,-125
7021,-1354,74,-101
7090,-1591,71,-81
7674,-1523,94,-90
6710,-1312,88,-85
7649,-1037,63,-123
7243,-1154,111,-97
7609,-1370,45,-103
7359,-1537,59,-137
4813,-1604,68,-107
5301,-1377,53,-88
6074,-1372,93,-100
5891,-1141,88,-89
7809,-1343,91,-130
6418,-1461,95,-74
5378,-1450,68,-76
6421,-1171,92,-75
7219,-1707,56,-67
6338,-1609,37,-82
6122,-2244,76,-100
6655,-1108,74,-119
6727,-1492,73,-83
6850,-1288,84,-79
7086,-1523,72,-98
6916,-1315,62,-115
3663,-1261,51,-98
4742,-1622,49,-86
5786,-1417,78,-95
5752,-1425,84,-80
5431,-2124,30,-109
5428,-1369,39,-76
5109,-1350,78,-114
6360,-1512,60,-92
5130,-1453,84,-87
4780,-1109,107,-116
5038,-1546,94,-94
6572,-1397,67,-81
5722,-1823,53,-124
4193,-2087,76,-100
5108,-917,52,-107
5759,-1106,96,-86
7804,-1498,60,-94
5746,-1250,74,-88
4887,-1459,16,-109
4503,-2349,51,-92
