laser,gyro_x,gyro_y,gyro_z


SCAN 1 - Left to Right
1125,-1599,76,-132
1660,-1883,46,-127
2034,-2666,83,-108
1449,-2383,42,-114
2355,-2729,51,-127
1170,-1640,44,-67
2184,-2372,49,-148
1592,-2463,44,-146
2105,-1733,56,-91
2343,-2664,75,-103
2376,-1668,100,-97
1992,-2137,63,-105
2074,-2293,83,-102
975,-2826,48,-139
2357,-1674,75,-98
1915,-1817,72,-81
1194,-1843,48,-88
1914,-2287,104,-133
1086,-2771,61,-106
1175,-2167,53,-75
1520,-2267,74,-68
1452,-1914,69,-135
1842,-2140,89,-134
939,-2949,91,-76
1254,-2064,32,-103
874,-1895,95,-74
1289,-2376,53,-123
1876,-1594,51,-100
1108,-2337,93,-106
1206,-1601,75,-105
933,-2037,84,-121
814,-2755,64,-166
2409,-2268,22,-135
1791,-2293,97,-131
1221,-1328,55,-92
1107,-2591,71,-111
3391,-1927,103,-134
1614,-2057,61,-159
1121,-1935,71,-114
