laser,gyro_x,gyro_y,gyro_z


SCAN 1 - Left to Right
7659,721,86,-100
7676,1184,116,-18
7186,783,111,-22
7624,1493,120,-49
7620,1153,63,-62
7502,878,99,-84
7670,1062,119,-56
7458,1278,91,12
7546,1213,109,-82
6769,1404,122,-29
7053,1641,129,-32
7304,863,92,-96
7523,1170,132,-26
8321,956,125,-53
7372,1321,109,-25
7290,685,131,-93
7486,1733,-473,-38
7566,1307,105,-29
7818,880,118,-27
7808,1336,104,-46
8200,1493,139,-36
8174,1186,120,-49
7963,1363,115,-32
8223,764,117,-112
8400,1334,119,-87
8591,1283,57,-58
8236,1181,97,-65
8280,1119,120,-66
8639,1620,108,-49
7732,911,132,-48
7892,1455,91,-23
8005,940,106,-53
8617,1213,119,-46
8838,949,101,-69
8109,1218,-574,-65
7530,1216,129,-65
8152,1285,132,-36
8213,2024,112,-46
8542,539,77,-54

SCAN 3 - Left to Right
8272,1749,94,-55
8579,855,113,-96
7895,-231,75,-85
8818,-42,90,-56
7951,-155,102,-93
8190,-583,71,-72
7834,-1850,66,-63
8192,-2501,61,-135
8519,-521,95,-59
9092,-2317,79,-93
8363,1037,116,-66
8011,-2954,7,-137
8684,-1492,66,-95
8645,-2392,51,-109
8133,495,131,-80
8040,-3415,29,-160
8261,251,100,-65
8196,-1092,65,-94
8385,-2626,67,-145
7850,-324,83,-87
8438,-3470,60,-147
8416,1232,149,-49
8504,-2914,52,-144
7704,-551,82,-109
7792,-1947,22,-125
8065,-1760,44,-131
8132,218,91,-60
8365,-2097,47,-77
7821,-1176,62,-84
7389,-1859,78,-100
7825,-2340,49,-133
6717,-389,58,-92
6801,-3297,22,-118
7973,-1295,84,-102
7362,-951,65,-78
7894,-2207,56,-65
6940,-861,124,-90
7727,-1159,90,-99
7837,-1626,93,-133
7477,-578,73,-94
7802,-709,70,-95
7173,-1762,59,-98
7540,-1244,74,-132
7472,-1567,83,-136
7427,-1827,51,-144
7329,-1920,57,-89
5720,-2152,69,-113
6731,-1905,59,-90
6858,-1750,79,-75
5238,-71,125,-85
5956,-1724,55,-83
6654,-2161,73,-74
4850,-1534,38,-142
5707,-2203,58,-117
5419,-1945,87,-108
4639,90,108,-124
5633,-1566,53,-132
6194,-1275,52,-99
6057,-1329,62,-100
5599,-1288,68,-115
4442,-1134,64,-131
4636,-1477,102,-91
4281,-1351,87,-83
4117,-1360,61,-114
5345,-1055,78,-74
6006,-1022,100,-106
5163,-823,53,-61
5439,-1578,54,-127
4715,-2102,47,-125
6103,-1920,54,-106
4865,-1262,87,-103
5445,-1084,101,-105
5695,-1232,49,-113
5378,-1654,37,-118
5015,-1166,74,-84
5657,-1470,57,-127
5809,-1708,80,-84
5310,-999,66,-64
5127,-1727,70,-127
5702,-1121,80,-131
4979,-1731,64,-101
5278,-1578,63,-133
5351,-1455,80,-93
5227,-1914,60,-116
4858,-1426,92,-79
4923,-1679,38,-61
4516,-1351,68,-97
4726,-1707,93,-148
4949,-934,49,-100
4359,-1518,74,-130
5782,-1441,71,-82
4868,-1572,73,-122
5182,-1666,81,-82
4736,-1716,52,-110
4581,-1433,89,-123
4224,-1646,64,-109
4795,-1210,76,-99
3848,-1296,94,-83
3753,-1435,30,-108
3843,-1658,48,-103
3070,-1424,67,-80
4093,-1551,51,-100
4356,-2078,81,-126
3018,-1159,75,-115
2000,-1440,79,-131
4187,-1307,84,-71
3795,-1201,74,-108
4643,-1621,69,-116
2218,-1739,85,-66
3206,-1722,50,-108
2747,-1651,91,-94
3339,-1205,46,-102
2045,-1570,65,-125
3239,-1152,51,-113
2703,-1341,88,-100
3267,-2181,30,-101
2339,-1418,41,-130
3717,-1235,78,-52
4347,-1400,46,-95
5663,-1216,95,-84
3078,-2161,100,-133
3299,-1202,60,-120
5431,-1524,114,-81
3183,-2408,106,-125
6213,-728,88,-117
6637,-1703,73,-114
4053,-1286,43,-107
5042,-1447,99,-105
3750,-1692,42,-131
6576,-1608,38,-158
2617,-1693,69,-74
4830,-1943,39,-100
5875,-1183,52,-81
4535,-1935,76,-105
4784,-1573,53,-99
7159,-1449,106,-130
5292,-1237,87,-94
5247,-1340,78,-96
5083,-1233,79,-112
7014,-1705,83,-124
5453,-1223,97,-114
7863,-1488,51,-138
7250,-1315,76,-108
7307,-2118,75,-119
8209,-952,99,-76
8119,-1780,106,-111
7553,-1328,73,-110
8382,-1474,405,-96
3044,-889,75,-109
8143,-1450,99,-146
8396,-1535,100,-107
8286,-1171,38,-103
8388,-1771,91,-100
8181,-1717,84,-136
7498,-1245,67,-1
SCAN 4 - Right to Left
12
6980,-1554,58,-101
7497,-846,91,-80
8023,-766,84,-66
8599,31,58,-102
7890,-270,109,-58
7833,251,97,-106
8004,2530,94,-51
6745,-353,47,-80
8195,2379,96,-41
7700,374,48,-62
8271,3272,134,-32
7187,-749,73,-119
8149,2750,139,-10
8038,53,71,-56
8200,2105,115,-34
8432,369,87,-18
7920,685,83,-53
8029,1487,108,-45
7348,607,110,-66
9097,2469,128,-83
7567,121,80,-20
8144,2059,85,-38
7994,792,138,-84
5154,1468,145,-78
6047,2421,157,-49
5741,-367,59,-62
6202,2658,111,-23
5547,-190,56,-48
6353,589,122,-67
5954,2005,131,-41
6735,1024,106,-70
5416,2974,141,-36
7422,-833,72,-96
6254,3483,137,-14
7578,-1870,40,-68
6208,3615,154,0
5245,-364,92,-55
7414,3101,125,0
8039,-959,62,-113
4416,1712,132,-33
3541,1933,106,-13
3958,845,126,-51
2553,1125,123,-75
4400,2115,157,-28
3882,1308,126,-27
4173,1996,126,-28
4504,-971,54,-109
3205,2819,119,7
2245,385,95,-67
3890,2032,109,-27
4378,1480,114,-33
5379,1854,141,-46
2643,-171,101,-71
3037,2483,117,-37
