laser,gyro_x,gyro_y,gyro_z


SCAN 1 - Left to Right
7179,31870,-13183,2703
7239,31265,-3162,1050
7020,32562,-1390,953
7818,32031,-267,650
8016,26036,555,483
8187,14405,315,253
7766,-5404,-2,-178
8170,1150,148,-32
7736,-729,135,-120
7599,-2896,43,-121
7467,-2659,66,-131
7540,-2985,39,-141
7874,163,91,-118
8253,-3041,34,-146
8323,-2929,73,-150
7787,-2061,64,-115
8523,-1538,75,-103
7879,-3841,77,-190
409,-683,101,-88
7577,-1004,89,-107
7831,-2857,63,-167
8121,-2915,51,-175
8361,-953,71,-111
7078,-3874,37,-156
7117,-2297,65,-136
7612,-1290,136,-113
7031,-3499,49,-174
7543,-1962,92,-131
7915,-2153,71,-130
6755,-2716,55,-146
7685,-2364,56,-117
7871,-2578,72,-151
7693,-2594,-96,-154
7968,229,95,-72
7460,-1915,93,-143
7254,-2135,34,-121
8329,-2209,66,-106
7289,-3155,59,-133
7661,-2845,58,-95
7142,-2627,70,-125
7503,-2306,172,-124
7779,-2030,40,-119
7478,-1990,80,-100
7627,-1313,90,-128
7651,-2236,59,-117
7858,-2129,74,-127
6602,-1850,-596,-94
7430,-1821,53,-67
7005,-2389,66,-149
7848,-2684,102,-156
7642,-2254,60,-98
7943,-2170,72,-107
6782,-2252,69,-113
7278,-1745,50,-116
6784,-2469,40,-151
6192,-1984,82,-112
7603,-2375,55,-122
7755,-2545,70,-123
7105,-1986,48,-94
6933,-1521,95,-122
7568,-2984,38,-143
7031,-1942,67,-132
7935,-2384,69,-124
7285,-1965,67,-129
7070,-2621,75,-127
7558,-2216,53,-94
7734,-2052,71,-131
7645,-2145,60,-132
7876,-2089,82,-141
7700,-1732,47,-82
8181,-2769,423,-166
7873,-2513,45,-124
7501,-2455,58,-121
7727,-1618,100,-82
7090,-2937,85,-134
7712,-1858,39,-134
7457,-2393,102,-134
7898,-2664,88,-88
7709,-877,53,-138
6677,-2751,497,-122
7141,-2585,48,-146
7591,-1979,88,-105
7883,-2699,33,-129
7894,-2305,76,-112
7907,-1567,67,-104
7765,-2667,73,-147
7860,-2721,85,-121
7342,-2415,39,-124
7891,-2129,67,-130
8011,-1716,97,-87
7227,-2328,33,-136
7114,-2383,122,-154
8136,-1872,75,-119
7411,-2539,48,-108
7534,-1963,109,-183
8054,-1646,103,-113
8446,-3031,68,-121
7070,-1829,62,-146
7018,-1572,118,-121
7473,-2492,35,-164
7837,-2434,75,-
SCAN 2 - Right to Left
129
7945,-1379,64,-118
6836,-1677,93,-97
6809,539,97,-80
7515,-292,83,-85
7831,2118,103,-20
7956,-216,85,-46
7014,3254,130,-40
7394,-462,134,-88
6985,3003,135,-31
7837,3098,150,-111
7627,1443,73,-28
7777,3528,130,-2
6839,-682,52,-59
7421,3051,127,2
7510,981,89,-45
6592,3598,116,-70
7567,591,74,-49
7165,4454,134,-10
7625,-2224,37,-61
7640,4062,151,-1
7279,2880,135,-17
7409,2751,150,-73
7249,-106,107,-87
7705,3942,153,-31
7572,2138,136,-5
7481,1695,113,-37
8044,1295,95,-87
7805,2417,143,-40
7598,2667,134,-38
7424,1032,87,-21
7540,3346,135,-5
7657,578,95,-53
