laser,gyro_x,gyro_y,gyro_z


SCAN 1 - Left to Right
7882,4358,127,24
8412,7126,180,26
8268,2083,102,-15
7078,4860,188,25
8143,3604,150,8
8134,5727,172,50
8349,2862,117,-2
7232,6860,167,34
7932,-872,69,-102
8417,6311,173,65
8491,3059,127,-25
7755,5196,164,72
7637,4998,161,30
8380,3498,146,7
8349,4575,172,18
7439,3122,135,-6
7696,3110,156,-52
7959,4995,145,40
7656,3130,130,-2
7169,4398,172,4
8250,4417,166,29
7852,4387,157,22
7797,4520,170,55
7241,4294,147,-3
7272,3626,151,-17
7521,4176,157,63
7753,3698,142,21
7762,3361,149,-17
7815,3323,167,36
8558,4425,160,8
7779,4283,130,24
7512,4349,192,7
7977,4037,194,-13
7817,4291,169,22
8445,3818,164,-15
7576,3873,172,24
7802,3496,156,41
7710,3812,-341,13
7770,4304,110,23
7704,4349,57,1
8130,3569,168,-26
8626,3677,126,-17
8305,4105,131,2
7642,3979,119
