laser,gyro_x,gyro_y,gyro_z


SCAN 1 - Left to Right
8607,1546,84,-55
9210,1889,131,-22
9085,646,101,-66
9388,1173,76,-48
8493,1416,110,-79
9457,1383,99,-70
9246,1859,131,-75
8925,814,82,-68
8967,1525,151,-66
9144,1090,77,-91
8930,913,84,-59
9117,880,122,-62
9109,981,93,-33
9243,1552,131,-33
8508,1561,105,-65
10001,521,96,-97
9053,1633,109,-67
9042,1426,113,-56
8914,877,97,-33
9402,875,89,-76
9243,1615,53,-64
9437,1003,112,-70
9129,1235,107,-50
9047,1185,106,-75
9039,1151,125,-83
9475,1808,81,-51
9584,710,107,-52
9226,1485,85,-50
9315,876,104,-72
9759,1403,111,-63
9613,964,1098,-24
9927,1137,60,-44
9654,1755,114,-50
9665,855,231,-50
9997,1827,74,-46
9274,923,82,-61
9383,1549,110,-71

SCAN 3 - Left to Right
27158,1288,140,-44
9777,1087,112,-83
9561,439,127,-72
9737,-111,83,-96
9754,-243,92,-93
9932,36,40,-121
9807,-530,51,-83
9610,-2705,21,-117
44044,-296,97,-87
10029,-3255,57,-140
10090,-622,99,-92
9486,-1140,82,-72
9244,-2911,63,-137
9923,179,142,-90
8869,-1755,63,-91
9486,64,99,-84
9347,-2985,16,-151
8981,-1078,79,-108
9607,-3390,16,-121
9391,32,79,-80
9673,-3242,28,-157
8840,-479,86,-107
9546,-2071,63,-151
8667,-153,86,-94
8582,-2989,34,-152
9583,858,144,-84
9353,-3165,56,-131
8864,-2372,38,-86
9017,-529,87,-156
8691,-3114,59,-151
9079,180,95,-79
8226,-1326,65,-94
9091,-2644,42,-149
9028,116,87,-69
9235,-1573,84,-112
9283,-1965,32,-115
8895,-384,113,-84
8507,-2698,-191,-116
8852,-2377,62,-119
8813,-89,113,-98
181,-1804,72,-101
8675,-2245,68,-132
8508,-918,82,-72
8775,-1568,42,-59
8353,-2264,75,-100
8226,-480,80,-98
8293,-1537,85,-92
9018,-1727,94,-140
8645,-2187,36,-111
8775,-1601,77,-89
8872,-833,74,-106
8606,-1902,75,-80
9063,-1364,101,-96
8795,-2005,35,-111
8503,-19,100,-93
8478,-1984,64,-92
9128,-1550,56,-111
8913,-2491,27,-97
8499,-482,83,-83
8612,-1514,55,-81
8252,-1547,65,-109
7871,-1224,59,-102
8380,-1243,50,-102
8349,-1463,92,-127
9033,-1291,83,-154
8804,-1319,92,-133
8595,-1490,64,-105
8014,-1383,59,-115
8733,-1741,85,-99
9077,-1510,73,-122
9624,-1547,53,-123
8894,-1993,71,-54
9195,-1062,77,-112
8889,-1206,77,-81
8836,-1418,60,-84
8667,-1521,73,-90
7969,-1595,61,-157
8004,-1119,68,-88
8949,-1258,67,-106
8138,-1485,82,-151
8558,-1536,61,-149
8570,-1184,86,-106
7975,-1539,85,-126
8265,-1079,34,-92
8641,-2374,96,-107
9621,-1715,74,-112
8582,-1223,78,-122
9061,-1576,69,-96
8870,-1118,80,-109
8596,-1321,83,-117
8627,-1733,781,-103
8625,-1328,72,-121
8750,-1352,69,-109
8606,-1545,69,-104
8236,-1117,76,-93
8730,-1907,46,-149
7983,-1781,98,-89
8463,-1034,78,-96
8748,-1438,74,-141
9020,-1669,82,-100
8378,-1664,51,-141
7986,-1514,97,-111
7712,-1401,62,-142
8652,-2007,41,-159
8938,-1026,74,-87
7830,-1355,32,-97
9141,-1395,108,-112
2997,-1694,80,-144
8053,-1352,30,-96
8019,-1495,105,-123
8524,-1999,60,-127
8722,-1109,99,-127
8795,-1526,35,-114
8552,-1559,90,-115
9385,-1699,87,-103
7949,-1559,77,-143
8290,-1100,84,-111
8919,-1731,49,-86
8911,-1280,64,-78
9252,-1454,59,-99
8516,-1239,60,-110
8762,-2020,55,-139
8306,-1539,28,-131
9097,-1713,81,-126
8827,-1044,124,-94
8268,-1502,38,-111
8211,-1653,50,-97
8294,-709,92,-127
9018,-1783,53,-113
8224,-1679,71,-98
8553,-1803,69,-98
8695,-1621,92,-115
8482,-1373,83,-120
8484,-1600,71,-115
8836,-1114,56,-100
9076,-1950,70,-104
8767,-1030,75,-90
2438,-1514,110,-143
8480,-2517,66,-128
9263,-1448,64,-84
8896,-1610,50,-116
8263,-2232,86,-131
8651,-1207,58,-141
8757,-1396,75,-103
8636,-1622,68,-96
8680,-1426,62,-130
8819,-1644,67,-133
8242,-1379,63,-113
9296,-1093,80,-124
8929,-1942,103,-125
8734,-809,76,-107
9026,-1819,58,-147
9013,-1048,65,-92
9039,-1274,47,-134
9082,-1689,67,-141
SCAN 4 - Right to Left

9596,-1837,7,-128
9248,-1129,88,-109
9770,-230,42,-63
8429,-713,85,-129
9745,794,117,-69
9115,2685,144,-52
9021,717,66,-36
9373,2557,85,-77
8914,2170,132,-54
9635,-714,73,-35
9452,3052,112,-67
8950,-382,30,-59
9344,3486,145,-64
8361,25,107,-106
8861,2156,122,-66
9396,1238,97,-67
9352,2418,68,-64
8938,169,120,-62
8616,2311,98,-46
9508,-577,76,-62
7429,1254,128,-97
8835,2069,91,-70
8680,920,81,-92
7920,1742,116,-69
8624,-27,56,-25
8355,1459,121,-64
1101,2839,149,-50
8966,-1359,51,-51
8795,3412,101,-19
8899,-473,95,-78
8865,3175,120,-17
8767,38,73,-87
8926,126,109,-98
8710,1987,148,-48
8852,1418,102,-101
9292,1334,113,-89
9108,45,80,-51
8597,2586,128,-40
8510,-571,47,-76
8944,1850,129,-55
8321,1978,99,-71
8993,-25,116,-106
8832,1694,88,-59
8601,2556,104,-2
8411,412,93,-88
8850,1969,148,-79
8008,1148,129,-108
8561,1172,91,-48
8671,2538,117,-11
8735,-821,71,-76
9069,1228,111,-46
9431,2262,149,-61
8366,1628,100,-67
8512,419,121,-85
8022,1726,117,-51
9018,984,102,-75
8239,1582,106,-34
8640,1762,134,-65
9305,97,100,-53
